Id;Heure;Debit;Total;Pression;Densite
1;13:49:19;0;14;0;0
2;13:49:20;0;0;0;0
3;13:49:21;0;0;0;0
4;13:49:22;0;0;0;0
5;13:49:23;0;0;0;0
6;13:49:24;0;0;0;0
7;13:49:25;0;0;0;0
8;13:49:26;0;0;0;0
9;13:49:27;0;0;0;0
10;13:49:28;0;0;0;0
11;13:49:29;0;0;0;0
12;13:49:30;0;0;0;0
13;13:49:31;0;0;0;0
14;13:49:32;0;0;0;0
15;13:49:33;0;0;0;0
16;13:49:34;0;0;0;0
17;13:49:35;0;0;0;0
18;13:49:36;0;0;0;0
19;13:49:37;0;0;0;0
20;13:49:38;0;0;0;0
21;13:49:39;0;0;0;0
22;13:49:40;0;0;0;0
23;13:49:41;0;0;0;0
24;13:49:42;0;0;0;0
25;13:49:43;0;0;0;0
26;13:49:44;0;0;0;0
27;13:49:45;0;0;0;0
28;13:49:46;0;0;0;0
29;13:49:47;0;0;0;0
30;13:49:48;0;0;0;0
31;13:49:49;0;0;0;0
32;13:49:50;0;0;0;0
33;13:49:51;0;0;0;0
34;13:49:52;0;0;0;0
35;13:49:53;0;0;0;0
36;13:49:54;0;0;0;0
37;13:49:55;0;0;0;0
38;13:49:56;0;0;0;0
39;13:49:57;0;0;0;0
40;13:49:58;0;0;0;0
41;13:49:59;0;0;0;0
42;13:50:00;0;0;0;0
43;13:50:01;0;0;0;0
44;13:50:02;0;0;0;0
45;13:50:03;0;0;0;0
46;13:50:04;0;0;0;0
47;13:50:05;0;0;0;0
48;13:50:06;0;0;0;0
49;13:50:07;0;0;0;0
50;13:50:08;0;0;0;0
51;13:50:09;0;0;0;0
52;13:50:10;0;0;0;0
53;13:50:11;0;0;0;0
54;13:50:12;0;0;0;0
55;13:50:13;0;0;0;0
56;13:50:14;0;0;0;0
57;13:50:15;0;0;0;0
58;13:50:16;0;0;0;0
59;13:50:17;0;0;0;0
60;13:50:18;0;0;0;0
61;13:50:19;0;0;0;0
62;13:50:20;0;0;0;0
63;13:50:21;0;0;0;0
64;13:50:22;0;0;0;0
65;13:50:23;0;0;0;0
66;13:50:24;0;0;0;0
67;13:50:25;0;0;0;0
68;13:50:26;0;0;0;0
69;13:50:27;0;0;0;0
70;13:50:28;0;0;0;0
71;13:50:29;0;0;0;0
72;13:50:30;0;0;0;0
73;13:50:31;0;0;0;0
74;13:50:32;0;0;0;0
75;13:50:33;0;0;0;0
76;13:50:34;0;0;0;0
77;13:50:35;0;0;0;0
78;13:50:36;0;0;0;0
79;13:50:37;0;0;0;0
80;13:50:38;0;0;0;0
81;13:50:39;0;0;0;0
82;13:50:40;0;0;0;0
83;13:50:41;0;0;0;0
84;13:50:42;0;0;0;0
85;13:50:43;0;0;0;0
86;13:50:44;0;0;0;0
87;13:50:45;0;0;0;0
88;13:50:46;0;0;0;0
89;13:50:47;0;0;0;0
90;13:50:48;0;0;0;0
91;13:50:49;0;0;0;0
92;13:50:50;0;0;0;0
93;13:50:51;0;0;0;0
94;13:50:52;0;0;0;0
95;13:50:53;0;0;0;0
96;13:50:54;0;0;0;0
97;13:50:55;0;0;0;0
98;13:50:56;0;0;0;0
99;13:50:57;0;0;0;0
100;13:50:58;0;0;0;0
101;13:50:59;0;0;0;0
102;13:51:00;0;0;0;0
103;13:51:01;0;0;0;0
104;13:51:02;0;0;0;0
105;13:51:03;0;0;0;0
106;13:51:04;0;0;0;0
107;13:51:05;0;0;0;0
108;13:51:06;0;0;0;0
109;13:51:07;0;0;0;0
110;13:51:08;0;0;0;0
111;13:51:09;0;0;0;0
112;13:51:10;0;0;0;0
113;13:51:11;0;0;0;0
114;13:51:12;0;0;0;0
115;13:51:13;0;0;0;0
116;13:51:14;0;0;0;0
117;13:51:15;0;0;0;0
118;13:51:16;0;0;0;0
119;13:51:17;0;0;0;0
120;13:51:18;0;0;0;0
121;13:51:19;0;0;0;0
122;13:51:20;0;0;0;0
123;13:51:21;0;0;0;0
124;13:51:22;0;0;0;0
125;13:51:23;0;0;0;0
126;13:51:24;0;0;0;0
127;13:51:25;0;0;0;0
128;13:51:26;0;0;0;0
129;13:51:27;0;0;0;0
130;13:51:28;0;0;0;0
131;13:51:29;0;0;0;0
132;13:51:30;0;0;0;0
133;13:51:31;0;0;0;0
134;13:51:32;0;0;0;0
135;13:51:33;0;0;0;0
136;13:51:34;0;0;0;0
137;13:51:35;0;0;0;0
138;13:51:36;0;0;0;0
139;13:51:37;0;0;0;0
140;13:51:38;0;0;0;0
141;13:51:39;0;0;0;0
142;13:51:40;0;0;0;0
143;13:51:41;0;0;0;0
144;13:51:42;0;0;0;0
145;13:51:43;0;0;0;0
146;13:51:44;0;0;0;0
147;13:51:45;0;0;0;0
148;13:51:46;0;0;0;0
149;13:51:47;0;0;0;0
150;13:51:48;0;0;0;0
151;13:51:49;0;0;0;0
152;13:51:50;0;0;0;0
153;13:51:51;0;0;0;0
154;13:51:52;0;0;0;0
155;13:51:53;0;0;0;0
156;13:51:54;0;0;0;0
157;13:51:55;0;0;0;0
158;13:51:56;0;0;0;0
159;13:51:57;0;0;0;0
160;13:51:58;0;0;0;0
161;13:51:59;0;0;0;0
162;13:52:00;0;0;0;0
163;13:52:01;0;0;0;0
164;13:52:02;0;0;0;0
165;13:52:03;0;0;0;0
166;13:52:04;0;0;0;0
167;13:52:05;0;0;0;0
168;13:52:06;0;0;0;0
169;13:52:07;0;0;0;0
170;13:52:08;0;0;0;0
171;13:52:09;0;0;0;0
172;13:52:10;0;0;0;0
173;13:52:11;0;0;0;0
174;13:52:12;0;0;0;0
175;13:52:13;0;0;0;0
176;13:52:14;0;0;0;0
177;13:52:15;0;0;0;0
178;13:52:16;0;0;0;0
179;13:52:17;0;0;0;0
180;13:52:18;0;0;0;0
181;13:52:19;0;0;0;0
182;13:52:20;0;0;0;0
183;13:52:21;0;0;0;0
184;13:52:22;0;0;0;0
185;13:52:23;0;0;0;0
186;13:52:24;0;0;0;0
187;13:52:25;0;0;0;0
188;13:52:26;0;0;0;0
189;13:52:27;0;0;0;0
190;13:52:28;0;0;0;0
191;13:52:29;0;0;0;0
192;13:52:30;0;0;0;0
193;13:52:31;0;0;0;0
194;13:52:32;0;0;0;0
195;13:52:33;0;0;0;0
196;13:52:34;0;0;0;0
197;13:52:35;0;0;0;0
198;13:52:36;0;0;0;0
199;13:52:37;0;0;0;0
200;13:52:38;0;0;0;0
201;13:52:39;0;0;0;0
202;13:52:40;0;0;0;0
203;13:52:41;0;0;0;0
204;13:52:42;0;0;0;0
205;13:52:43;0;0;0;0
206;13:52:44;0;0;0;0
207;13:52:45;0;0;0;0
208;13:52:46;0;0;0;0
209;13:52:47;0;0;0;0
210;13:52:48;0;0;0;0
211;13:52:49;0;0;0;0
212;13:52:50;0;0;0;0
213;13:52:51;0;0;0;0
214;13:52:52;0;0;0;0
215;13:52:53;0;0;0;0
216;13:52:54;0;0;0;0
217;13:52:55;0;0;0;0
218;13:52:56;0;0;0;0
219;13:52:57;0;0;0;0
220;13:52:58;0;0;0;0
221;13:52:59;0;0;0;0
222;13:53:00;0;0;0;0
223;13:53:01;0;0;0;0
224;13:53:02;0;0;0;0
225;13:53:03;0;0;0;0
226;13:53:04;0;0;0;0
227;13:53:05;0;0;0;0
228;13:53:06;0;0;0;0
229;13:53:07;0;0;0;0
230;13:53:08;0;0;0;0
231;13:53:09;0;0;0;0
232;13:53:10;0;0;0;0
233;13:53:11;0;0;0;0
234;13:53:12;0;0;0;0
235;13:53:13;0;0;0;0
236;13:53:14;0;0;0;0
237;13:53:15;0;0;0;0
238;13:53:16;0;0;0;0
239;13:53:17;0;0;0;0
240;13:53:18;0;0;0;0
241;13:53:19;0;0;0;0
242;13:53:20;0;0;0;0
243;13:53:21;0;0;0;0
244;13:53:22;0;0;0;0
245;13:53:23;0;0;0;0
246;13:53:24;0;0;0;0
247;13:53:25;0;0;0;0
248;13:53:26;0;0;0;0
249;13:53:27;0;0;0;0
250;13:53:28;0;0;0;0
251;13:53:29;0;0;0;0
252;13:53:30;0;0;0;0
253;13:53:31;0;0;0;0
254;13:53:32;0;0;0;0
255;13:53:33;0;0;0;0
256;13:53:34;0;0;0;0
257;13:53:35;0;0;0;0
258;13:53:36;0;0;0;0
259;13:53:37;0;0;0;0
260;13:53:38;0;0;0;0
261;13:53:39;0;0;0;0
262;13:53:40;0;0;0;0
263;13:53:41;0;0;0;0
264;13:53:42;0;0;0;0
265;13:53:43;0;0;0;0
266;13:53:44;0;0;0;0
267;13:53:45;0;0;0;0
268;13:53:46;0;0;0;0
269;13:53:47;0;0;0;0
270;13:53:48;0;0;0;0
271;13:53:49;0;0;0;0
272;13:53:50;0;0;0;0
273;13:53:51;0;0;0;0
274;13:53:52;0;0;0;0
275;13:53:53;0;0;0;0
276;13:53:54;0;0;0;0
277;13:53:55;0;0;0;0
278;13:53:56;0;0;0;0
279;13:53:57;0;0;0;0
280;13:53:58;0;0;0;0
281;13:53:59;0;0;0;0
282;13:54:00;0;0;0;0
283;13:54:01;0;0;0;0
284;13:54:02;0;0;0;0
285;13:54:03;0;0;0;0
286;13:54:04;0;0;0;0
287;13:54:05;0;0;0;0
288;13:54:06;0;0;0;0
289;13:54:07;0;0;0;0
290;13:54:08;0;0;0;0
291;13:54:09;0;0;0;0
292;13:54:10;0;0;0;0
293;13:54:11;0;0;0;0
294;13:54:12;0;0;0;0
295;13:54:13;0;0;0;0
296;13:54:14;0;0;0;0
297;13:54:15;0;0;0;0
298;13:54:16;0;0;0;0
299;13:54:17;0;0;0;0
300;13:54:18;0;0;0;0
301;13:54:19;0;0;0;0
302;13:54:20;0;0;0;0
303;13:54:21;0;0;0;0
304;13:54:22;0;0;0;0
305;13:54:23;0;0;0;0
306;13:54:24;0;0;0;0
307;13:54:25;0;0;0;0
308;13:54:26;0;0;0;0
309;13:54:27;0;0;0;0
310;13:54:28;0;0;0;0
311;13:54:29;0;0;0;0
312;13:54:30;0;0;0;0
313;13:54:31;0;0;0;0
314;13:54:32;0;0;0;0
315;13:54:33;0;0;0;0
316;13:54:34;0;0;0;0
317;13:54:35;0;0;0;0
318;13:54:36;0;0;0;0
319;13:54:37;0;0;0;0
320;13:54:38;0;0;0;0
321;13:54:39;0;0;0;0
322;13:54:40;0;0;0;0
323;13:54:41;0;0;0;0
324;13:54:42;0;0;0;0
325;13:54:43;0;0;0;0
